ticket_id,text,category,urgency
1000,Can you help me with some information?,General/Irrelevant,Low
1001,Can you help me resolve this problem?,Technical Support,Medium
1002,there's a problem i need help with.,Technical Support,High
1003,I'm having trouble connecting to the service.,Technical Support,Medium
1004,I'm getting error messages when trying to access certain features.,Technical Support,Medium
1005,i need assistance with my account. thanks for your assistance.,Account Management,High
1006,i have an issue with my recent purchase.,Billing & Payments,Medium
1007,Is this item still being manufactured?,Product Inquiry,Medium
1008,something's wrong with my access. i appreciate your help with this.,General/Irrelevant,Medium
1009,i'm having trouble logging into my account.,Account Management,Medium
1010,Can I change the email associated with my account?,Account Management,Medium
1011,I need assistance with an issue.,Billing & Payments,High
1012,there seems to be a problem with the recent charge on my account.,Returns & Refunds,Medium
1013,The product arrived defective and doesn't work.,Returns & Refunds,Medium
1014,i need help accessing my account.,Billing & Payments,High
1015,Can you help me recover my account access?,Account Management,Medium
1016,I have a question for you. I'm a longtime customer.,General/Irrelevant,Low
1017,Something isn't functioning correctly in the application.,Technical Support,Medium
1018,I didn't authorize this charge on my account.,Billing & Payments,Medium
1019,the page loads extremely slowly for me. i hope you're having a good day.,Technical Support,Medium
1020,I have an issue with my recent purchase.,Billing & Payments,Medium
1021,Is there a newer version available?,Product Inquiry,Medium
1022,I'd like to provide feedback about something. I appreciate your help with this.,General/Irrelevant,High
1023,Can you help me with my account issue?,Account Management,Low
1024,i didn't authorize this charge on my account. this is my first time contacting support.,Billing & Payments,Medium
1025,How do I initiate a return?,Returns & Refunds,Medium
1026,i'd like to provide feedback about something. thanks for your assistance.,General/Irrelevant,Medium
1027,I'm looking for more details about something.,Product Inquiry,Medium
1028,I think my account has been compromised.,Account Management,Medium
1029,Can I exchange this for a different option?,Returns & Refunds,Medium
1030,Just checking in to see how things are going.,Product Inquiry,Medium
1031,"i'd like to return this purchase for a refund. by the way, the weather is nice today.",Technical Support,Medium
1032,This product doesn't meet my expectations and I'd like to return it.,Returns & Refunds,Medium
1033,I was charged multiple times for the same order. I hope you're having a good day.,Billing & Payments,Medium
1034,how do i change my subscription settings?,Billing & Payments,Low
1035,How do I change my subscription settings?,Billing & Payments,Medium
1036,i'm having trouble logging into my account.,Account Management,Medium
1037,How do I verify my email address?,Account Management,Medium
1038,"Hi there, just wanted to reach out.",Account Management,Low
1039,The feature you mentioned isn't working as described.,Technical Support,Medium
1040,Something isn't functioning correctly in the application.,Technical Support,Medium
1041,"What accessories are compatible with this product? By the way, the weather is nice today.",Product Inquiry,Medium
1042,Do you have any recommendations for me? I appreciate your help with this.,General/Irrelevant,Medium
1043,I think my account has been compromised.,Account Management,High
1044,The feature you mentioned isn't working as described.,Technical Support,Medium
1045,I have an issue with my account.,Account Management,Medium
1046,just checking in to see how things are going.,General/Irrelevant,Medium
1047,how do i verify my email address?,Account Management,Medium
1048,the application froze while i was using it.,Technical Support,Medium
1049,Can you help me with my purchase?,Returns & Refunds,Medium
1050,I need assistance with something.,General/Irrelevant,High
1051,"I wanted to ask about something in general. By the way, the weather is nice today.",General/Irrelevant,Low
1052,there's a problem i need help with.,Technical Support,High
1053,I'm having trouble logging into my account.,Account Management,Medium
1054,can you help me resolve this problem? looking forward to your response.,Technical Support,Medium
1055,can i get a refund for this purchase?,Returns & Refunds,Medium
1056,I have a question that might not fit your usual categories.,General/Irrelevant,Low
1057,is this item still being manufactured?,Product Inquiry,Medium
1058,What options are available for customization? Looking forward to your response.,Product Inquiry,Medium
1059,I'm having trouble logging into my account. Thanks for your assistance.,Account Management,Low
1060,can you provide some information about something?,General/Irrelevant,Low
1061,There's a bug in the system that prevents me from completing my task.,Technical Support,Medium
1062,I need help with my purchase.,Returns & Refunds,High
1063,How do I verify my email address? I'm a longtime customer.,Account Management,Medium
1064,I need to change my account password.,Account Management,High
1065,I need assistance with my account. I'm a longtime customer.,Returns & Refunds,High
1066,Can you help me with my account issue?,Account Management,Medium
1067,I'm looking for some general information.,General/Irrelevant,Low
1068,There seems to be a problem with the recent charge on my account.,Billing & Payments,Medium
1069,What features are included in this version?,Product Inquiry,Medium
1070,Can you help me with some information?,Product Inquiry,Low
1071,i have a question for you.,General/Irrelevant,Low
1072,"I need assistance regarding something. By the way, the weather is nice today.",Product Inquiry,High
1073,Can you help me recover my account access?,Account Management,Medium
1074,"is this item still being manufactured? by the way, the weather is nice today.",Product Inquiry,Medium
1075,i need assistance with an issue. thanks for your assistance.,Billing & Payments,High
1076,Can you help me with my purchase? I'm a longtime customer.,Billing & Payments,Medium
1077,i didn't authorize this charge on my account. this is my first time contacting support.,Billing & Payments,Medium
1078,i need to change my account password.,Account Management,High
1079,"Can I change the email associated with my account? By the way, the weather is nice today.",Account Management,Medium
1080,The application froze while I was using it.,Technical Support,Medium
1081,Can I exchange this for a different option? I appreciate your help with this.,Returns & Refunds,Medium
1082,this product doesn't meet my expectations and i'd like to return it.,Returns & Refunds,Medium
1083,i can't seem to access the platform from my device.,Technical Support,Medium
1084,"Hi there, just wanted to reach out.",General/Irrelevant,High
1085,something isn't functioning correctly in the application.,Technical Support,Medium
1086,The service seems to be down or experiencing technical difficulties.,Technical Support,Medium
1087,i was charged multiple times for the same order.,Billing & Payments,Medium
1088,What's the difference between these product versions?,Product Inquiry,Medium
1089,there's a bug in the system that prevents me from completing my task. looking forward to your response.,Technical Support,Medium
1090,Is there a newer version available?,Product Inquiry,Medium
1091,I need help with my purchase.,Returns & Refunds,High
1092,The service seems to be down or experiencing technical difficulties.,Technical Support,Medium
1093,I'd like to return this item and get my money back.,Returns & Refunds,Medium
1094,The wrong item was sent to me.,Billing & Payments,Medium
1095,I have a general inquiry for your team.,General/Irrelevant,Low
1096,I need assistance with an issue.,Billing & Payments,High
1097,i need to change my account password.,Account Management,High
1098,Can you help me with my purchase?,Billing & Payments,Medium
1099,I have an issue with my recent order.,Returns & Refunds,Medium
1100,i need to change my account password.,Account Management,High
1101,"Is there a newer version available? By the way, the weather is nice today.",Product Inquiry,Medium
1102,I need to change my account password. Thanks for your assistance.,Account Management,High
1103,I received a damaged item and would like to return it.,Returns & Refunds,Medium
1104,I'm having trouble connecting to the service.,Technical Support,Medium
1105,I'd like to return this item and get my money back.,General/Irrelevant,Medium
1106,i think my account has been compromised.,Account Management,Medium
1107,i need to change my account password.,Account Management,High
1108,I need help with my purchase.,Returns & Refunds,High
1109,do you have information about what's included in the package?,Product Inquiry,Low
1110,I need to send this back as it's not what I expected.,Returns & Refunds,High
1111,"Something is wrong with my order. By the way, the weather is nice today.",Billing & Payments,Medium
1112,I need to send this back as it's not what I expected.,Returns & Refunds,High
1113,i'm experiencing performance issues with the platform.,Technical Support,Medium
1114,can you help me with some information? i'm a longtime customer.,Returns & Refunds,Low
1115,I'm having trouble connecting to the service. This is my first time contacting support.,Technical Support,Medium
1116,I'd like to return this item and get my money back. I'm a longtime customer.,Returns & Refunds,Medium
1117,"the amount i was charged seems incorrect. by the way, the weather is nice today.",Billing & Payments,Medium
1118,There seems to be a problem with the recent charge on my account.,Billing & Payments,Medium
1119,There's a discrepancy in my billing statement.,Billing & Payments,Medium
1120,The system returned an unexpected error code.,Technical Support,Medium
1121,The service seems to be down or experiencing technical difficulties.,Billing & Payments,Medium
1122,what options are available for customization?,Product Inquiry,Medium
1123,Can you help me with my purchase?,Billing & Payments,Medium
1124,I'm having trouble connecting to the service.,Technical Support,Medium
1125,this product doesn't meet my expectations and i'd like to return it.,Billing & Payments,Medium
1126,Can you provide more details about the product?,Product Inquiry,Medium
1127,How do I change my subscription settings?,Billing & Payments,Medium
1128,The application keeps crashing whenever I try to use this feature.,Technical Support,Low
1129,The service seems to be down or experiencing technical difficulties.,Technical Support,Medium
1130,Can you help me with some information?,Returns & Refunds,Low
1131,Can you help me with my account issue?,Returns & Refunds,Medium
1132,Do you have information about what's included in the package?,Product Inquiry,Low
1133,My subscription hasn't been renewed properly.,Billing & Payments,Medium
1134,I'm unable to reset my password.,Account Management,Medium
1135,Can I change the email associated with my account?,Account Management,Medium
1136,"how do i initiate a return? by the way, the weather is nice today.",Returns & Refunds,Medium
1137,The system returned an unexpected error code. I hope you're having a good day.,Technical Support,Medium
1138,i have a general inquiry for your team.,General/Irrelevant,Low
1139,There's a discrepancy in my billing statement.,Billing & Payments,Medium
1140,I need assistance regarding something. I'm a longtime customer.,Returns & Refunds,High
1141,I'm unable to reset my password.,Account Management,Medium
1142,There's a problem I need help with.,General/Irrelevant,High
1143,Something isn't functioning correctly in the application.,Billing & Payments,Medium
1144,Can you help me out?,General/Irrelevant,Medium
1145,i need assistance regarding something.,Product Inquiry,High
1146,the shipment included an incorrect item.,Returns & Refunds,Medium
1147,my subscription hasn't been renewed properly.,Billing & Payments,Medium
1148,I'm having trouble connecting to the service.,Technical Support,Medium
1149,the amount i was charged seems incorrect.,Billing & Payments,Medium
1150,do you have any recommendations for me?,General/Irrelevant,Medium
1151,there's a discrepancy in my billing statement. i'm a longtime customer.,Billing & Payments,Medium
1152,Is this item available in different sizes or colors?,Product Inquiry,Medium
1153,I need to send this back as it's not what I expected. I'm a longtime customer.,Returns & Refunds,High
1154,What accessories are compatible with this product?,Product Inquiry,High
1155,The application keeps crashing whenever I try to use this feature.,Technical Support,Low
1156,the page loads extremely slowly for me. i'm a longtime customer.,Technical Support,Medium
1157,I received a damaged item and would like to return it.,Returns & Refunds,High
1158,i'd like to return this purchase for a refund.,Returns & Refunds,Medium
1159,I'm experiencing performance issues with the platform. Looking forward to your response.,Technical Support,Medium
1160,The service seems to be down or experiencing technical difficulties.,Technical Support,Medium
1161,the application keeps crashing whenever i try to use this feature.,Technical Support,Low
1162,I'd like to return this purchase for a refund.,Returns & Refunds,Medium
1163,How do I initiate a return?,Returns & Refunds,Medium
1164,I'd like to return this item and get my money back. I hope you're having a good day.,General/Irrelevant,Medium
1165,Can you help me with my account issue?,Product Inquiry,Medium
1166,I'd like to know more about your latest product offerings.,Product Inquiry,High
1167,I have an issue with my recent purchase.,Product Inquiry,Medium
1168,how do i initiate a return?,Returns & Refunds,Medium
1169,i need help accessing my account.,Account Management,High
1170,i have a question about an item.,Product Inquiry,Low
1171,"Hi there, just wanted to reach out.",General/Irrelevant,Medium
1172,There's a problem I need help with.,Technical Support,High
1173,Can you help me with some information? Looking forward to your response.,Product Inquiry,Low
1174,The product arrived defective and doesn't work.,Returns & Refunds,Medium
1175,I need to update my payment information.,Billing & Payments,High
1176,i have an issue with my recent order. i hope you're having a good day.,Returns & Refunds,Medium
1177,I need assistance with an issue.,Technical Support,High
1178,This product doesn't meet my expectations and I'd like to return it.,Returns & Refunds,Medium
1179,I'm interested in learning more about your services.,General/Irrelevant,Medium
1180,Can you help me set up two-factor authentication?,Account Management,Low
1181,i have a question for you.,General/Irrelevant,Low
1182,I'm getting error messages when trying to access certain features.,Technical Support,Medium
1183,the product arrived defective and doesn't work.,Returns & Refunds,Medium
1184,I have a general inquiry for your team. I hope you're having a good day.,General/Irrelevant,Low
1185,I need assistance regarding something. I appreciate your help with this.,Product Inquiry,High
1186,I'd like to return this purchase for a refund.,Returns & Refunds,Medium
1187,I have a question for you.,General/Irrelevant,Low
1188,I have a general inquiry for your team. I'm a longtime customer.,General/Irrelevant,Low
1189,i'm having trouble logging into my account.,Account Management,Medium
1190,I have a question that might not fit your usual categories.,General/Irrelevant,Low
1191,Can I exchange this for a different option?,Returns & Refunds,Medium
